             Q2         Q3           Q4         Q5           Q6          Q7
Q2   1.00000000 0.03589847  0.410173273 -0.2232014 -0.268573297 -0.17590473
Q3   0.03589847 1.00000000  0.096880956  0.2869305  0.132157319  0.31950325
Q4   0.41017327 0.09688096  1.000000000 -0.2308044 -0.038504010 -0.06218345
Q5  -0.22320137 0.28693045 -0.230804388  1.0000000  0.580860371  0.40358674
Q6  -0.26857330 0.13215732 -0.038504010  0.5808604  1.000000000  0.42373971
Q7  -0.17590473 0.31950325 -0.062183451  0.4035867  0.423739711  1.00000000
Q8  -0.28681017 0.23159398 -0.133529346  0.7026605  0.695434413  0.41770482
Q9  -0.32192135 0.27501924 -0.194500664  0.6325249  0.642830098  0.52039426
Q10 -0.26414997 0.20099892 -0.252946142  0.5723705  0.448846493  0.41652051
Q11 -0.13181884 0.39500536 -0.121446525  0.4062168  0.265419733  0.41482329
Q12 -0.10263607 0.35846346 -0.073475511  0.4558965  0.283131227  0.38326234
Q13 -0.21365131 0.17703908 -0.063718524  0.5088389  0.405376935  0.39957002
Q14 -0.11802039 0.23364172 -0.039729322  0.4249329  0.353379007  0.42376008
Q15 -0.17477844 0.25623232  0.008162472  0.3771909  0.468170038  0.38561415
Q16 -0.15083842 0.11660446 -0.030906795  0.3825759  0.229893025  0.30313880
Q17  0.01054099 0.40165595  0.134123322  0.2031311  0.080073016  0.27891103
Q18 -0.01234082 0.26301395 -0.052976309  0.3774277  0.212854901  0.27085962
Q19 -0.02394224 0.34421058 -0.102584162  0.2648329  0.089143006  0.34666296
Q20 -0.03963122 0.28024487 -0.091260438  0.2095422  0.099300303  0.35608834
Q21 -0.04480561 0.18796886 -0.040462953  0.3570184  0.204752854  0.28969631
Q22 -0.19533271 0.24490352 -0.168185913  0.4842426  0.353333596  0.39877667
Q23 -0.19001351 0.20976655 -0.143723281  0.4785401  0.359176922  0.41236357
Q24 -0.22400505 0.13178821 -0.222707511  0.4959985  0.377782500  0.33655479
Q25 -0.29056935 0.19067630 -0.216998135  0.5005922  0.398471304  0.44545817
Q26 -0.35536625 0.21495838 -0.214412884  0.4930797  0.461070243  0.27053794
Q27 -0.26242213 0.12997437 -0.273672144  0.4971060  0.463425106  0.24239517
Q28 -0.09251854 0.22375923 -0.080229413  0.2748450  0.213876983  0.24853888
             Q8            Q9         Q10          Q11          Q12         Q13
Q2  -0.28681017 -0.3219213515 -0.26414997 -0.131818839 -0.102636068 -0.21365131
Q3   0.23159398  0.2750192429  0.20099892  0.395005356  0.358463459  0.17703908
Q4  -0.13352935 -0.1945006643 -0.25294614 -0.121446525 -0.073475511 -0.06371852
Q5   0.70266049  0.6325249065  0.57237050  0.406216819  0.455896454  0.50883888
Q6   0.69543441  0.6428300980  0.44884649  0.265419733  0.283131227  0.40537694
Q7   0.41770482  0.5203942558  0.41652051  0.414823288  0.383262342  0.39957002
Q8   1.00000000  0.6769504532  0.61475080  0.408720678  0.454262524  0.50524424
Q9   0.67695045  1.0000000000  0.54150207  0.529132034  0.510884771  0.53355981
Q10  0.61475080  0.5415020709  1.00000000  0.597714245  0.637030424  0.63922341
Q11  0.40872068  0.5291320343  0.59771424  1.000000000  0.876876462  0.62594171
Q12  0.45426252  0.5108847706  0.63703042  0.876876462  1.000000000  0.69228764
Q13  0.50524424  0.5335598138  0.63922341  0.625941710  0.692287642  1.00000000
Q14  0.46274791  0.4621321015  0.58745230  0.549523547  0.593660352  0.78786166
Q15  0.45242724  0.5504132740  0.58075268  0.482769573  0.547429665  0.68227041
Q16  0.23420564  0.4048405519  0.40180605  0.339675492  0.325000839  0.40368594
Q17  0.22534356  0.2302659845  0.31430535  0.347855309  0.351097416  0.32262309
Q18  0.29016904  0.3346852482  0.36511297  0.444690068  0.474015834  0.40656983
Q19  0.25075525  0.3060099676  0.30063073  0.403198306  0.360033416  0.23517529
Q20  0.19449732  0.2792810007  0.21419831  0.381018848  0.346520323  0.31062598
Q21  0.29856832  0.3179468535  0.39365115  0.388361102  0.337375544  0.45563545
Q22  0.45813822  0.4962074897  0.56781462  0.499459579  0.508982162  0.59463005
Q23  0.49265984  0.5658617038  0.63514564  0.567193778  0.575200110  0.66210698
Q24  0.54089559  0.5847928573  0.66505409  0.572254159  0.569880070  0.64256613
Q25  0.52568106  0.6253640460  0.66722488  0.619451643  0.546326096  0.60659747
Q26  0.55482764  0.5079559256  0.54175845  0.384176675  0.430440138  0.51191167
Q27  0.59081943  0.4722754934  0.58520045  0.395843972  0.424151091  0.49596091
Q28  0.32528014  0.3699029272  0.39582638  0.440760098  0.436804934  0.34970226
             Q14          Q15         Q16        Q17          Q18         Q19
Q2  -0.118020391 -0.174778440 -0.15083842 0.01054099 -0.012340818 -0.02394224
Q3   0.233641721  0.256232321  0.11660446 0.40165595  0.263013954  0.34421058
Q4  -0.039729322  0.008162472 -0.03090680 0.13412332 -0.052976309 -0.10258416
Q5   0.424932887  0.377190912  0.38257591 0.20313113  0.377427700  0.26483293
Q6   0.353379007  0.468170038  0.22989302 0.08007302  0.212854901  0.08914301
Q7   0.423760082  0.385614148  0.30313880 0.27891103  0.270859620  0.34666296
Q8   0.462747915  0.452427238  0.23420564 0.22534356  0.290169044  0.25075525
Q9   0.462132101  0.550413274  0.40484055 0.23026598  0.334685248  0.30600997
Q10  0.587452298  0.580752683  0.40180605 0.31430535  0.365112966  0.30063073
Q11  0.549523547  0.482769573  0.33967549 0.34785531  0.444690068  0.40319831
Q12  0.593660352  0.547429665  0.32500084 0.35109742  0.474015834  0.36003342
Q13  0.787861662  0.682270415  0.40368594 0.32262309  0.406569827  0.23517529
Q14  1.000000000  0.689004833  0.37147969 0.31503537  0.380181941  0.28744456
Q15  0.689004833  1.000000000  0.46604792 0.44264594  0.441910360  0.42475766
Q16  0.371479692  0.466047925  1.00000000 0.34863993  0.483141836  0.29053568
Q17  0.315035372  0.442645940  0.34863993 1.00000000  0.498419646  0.47748649
Q18  0.380181941  0.441910360  0.48314184 0.49841965  1.000000000  0.54803580
Q19  0.287444564  0.424757665  0.29053568 0.47748649  0.548035795  1.00000000
Q20  0.431086107  0.413783316  0.18685078 0.33198971  0.372496011  0.60993617
Q21  0.442268897  0.518187591  0.46086523 0.44262660  0.507843724  0.54980848
Q22  0.631293259  0.601372699  0.40912522 0.39376547  0.544943826  0.46652705
Q23  0.611882452  0.652959820  0.41819445 0.38620483  0.545974219  0.41086010
Q24  0.616763987  0.623926156  0.38686649 0.32955750  0.461887630  0.40418722
Q25  0.573815071  0.597799630  0.38251890 0.31793589  0.465362347  0.37033743
Q26  0.476517837  0.520443919  0.27574573 0.35200717  0.264173101  0.27739279
Q27  0.494808268  0.454629786  0.27793004 0.26297530  0.341774850  0.22928293
Q28  0.337504632  0.417526109  0.26187961 0.31181882  0.274095790  0.28175389
            Q20         Q21         Q22         Q23         Q24          Q25
Q2  -0.03963122 -0.04480561 -0.19533271 -0.19001351 -0.22400505 -0.290569355
Q3   0.28024487  0.18796886  0.24490352  0.20976655  0.13178821  0.190676302
Q4  -0.09126044 -0.04046295 -0.16818591 -0.14372328 -0.22270751 -0.216998135
Q5   0.20954220  0.35701840  0.48424259  0.47854006  0.49599850  0.500592242
