             Comp.1       Comp.2        Comp.3        Comp.4       Comp.5
  [1,]  0.548260467  1.346716930  0.9001641317  0.2904052554 -0.505550246
  [2,] -1.935671900 -0.110693922  0.0061827047  1.9610058302  5.088620387
  [3,]  4.536219238  2.038225092 -3.0634005065  0.8639366346 -1.078573945
  [4,] -5.512317104  0.749542440  0.9404660685  1.5208420145  0.916305615
  [5,]  3.998108286  1.286252445  2.4755113437  0.3485408787  0.085785843
  [6,]  0.008891955  2.791138663  1.7595382113 -0.0783594416  0.539012220
  [7,]  0.115573854 -2.772069794  0.8645501383 -0.0450813953  0.848499596
  [8,] -1.172772101 -0.483100178  0.5005739660 -1.3985251309  0.151141217
  [9,]  3.245092054  0.571556773  0.4535324907  0.0449921498 -0.487424034
 [10,] -2.920111030 -0.736955739 -1.0207845888 -0.7183052267 -0.140320940
 [11,] -1.400129917  0.644683708  0.3103184813  1.3682546325 -0.074809958
 [12,]  0.383744580  0.029294667  0.4943773099  0.3350051039 -0.534256261
 [13,]  0.576773177  1.277259345 -1.0393620023 -1.5735027536 -1.258579994
 [14,] -0.141618089 -0.940628157 -3.4098010372  1.1013636446 -0.797364139
 [15,] -1.935671900 -0.110693922  0.0061827047  1.9610058302  5.088620387
 [16,]  0.162985330 -1.392976972  1.2602028884 -0.1900104309  0.801374842
 [17,] -5.719410601  0.983262359 -3.9361891025  1.1411026383 -0.800423614
 [18,] -2.490043500  0.167782444 -1.6665183100 -0.7712567822 -0.169530444
 [19,]  1.100043720  0.074831724 -0.2084039557 -3.9911299500  1.350547425
 [20,]  0.266335854  0.946558780  0.2455982777 -0.0825500099 -2.208114948
 [21,]  1.764595664 -1.639908136  3.2302502667  1.6921150036  1.062393636
 [22,] -2.413607256  1.540761897  0.8923716058  0.2327606862 -0.641780607
 [23,] -3.068782566 -1.791119190  0.1359280529 -3.4808704517  0.665655962
 [24,] -1.172772101 -0.483100178  0.5005739660 -1.3985251309  0.151141217
 [25,]  1.901064135  1.670286865  0.6492637567 -1.3733494331 -0.985553332
