              Comp.1       Comp.2       Comp.3       Comp.4      Comp.5
  [1,] -3.053018e-01 -1.023752249 -0.912907330  0.523511897  0.22503600
  [2,]  1.902730e+00 -0.684956396  0.120466639  4.402202502 -2.69944688
  [3,] -4.176594e+00 -1.421478982  3.391663770 -0.220948051  1.95932980
  [4,]  4.971624e+00 -1.366970295 -0.738360311  1.784301193  1.14492406
  [5,] -3.259124e+00 -1.198873816 -2.025745846  0.482589731  0.29385600
  [6,]  7.599176e-01 -2.300523303 -1.017714532  0.097692677 -0.48979383
  [7,] -9.917982e-02  2.671634682 -1.168142312  1.118605562 -0.50123924
  [8,]  1.439320e+00  0.236713052 -0.428928092 -0.886982162  0.75781010
  [9,] -2.778082e+00 -0.756444487 -0.108418584 -0.378097760  0.92182440
 [10,]  2.579526e+00  0.906263231  0.523590029 -0.101019629 -0.36064627
 [11,]  1.127556e+00 -0.907110369 -0.014358539  1.090307921  0.60787140
 [12,] -6.097023e-01 -0.771184926  0.023278034 -1.026594014  0.83078645
 [13,] -3.758528e-01 -0.393680152  0.981662104 -2.616461966 -0.15439608
 [14,] -5.211365e-01  1.436452845  2.762855025  1.211629664  1.50268309
 [15,]  1.902730e+00 -0.684956396  0.120466639  4.402202502 -2.69944688
 [16,] -2.622939e-01  0.511523264 -1.248260911 -0.076622292 -0.68207682
 [17,]  4.941549e+00 -0.611070898  3.713634307  0.875919004  2.55451551
 [18,]  2.403780e+00 -0.110646351  1.479422348 -0.270694720  1.40943063
 [19,]  5.008112e-01  0.832681307  0.288312931 -1.269639720 -0.50896594
 [20,] -4.844931e-01 -1.172452701 -0.250336806 -1.668487899  1.47296922
 [21,] -1.836929e+00 -0.167274624 -3.373955364  2.315908273  1.02307553
 [22,]  2.094152e+00 -2.384493226 -0.693974266 -0.426893242  0.24530085
 [23,]  3.522845e+00  2.650114368 -0.621383429 -1.631661392 -1.47237488
 [24,]  1.439320e+00  0.236713052 -0.428928092 -0.886982162  0.75781010
 [25,] -1.252648e+00 -1.003933294 -0.461473949 -1.684043389  0.05735031
 [26,]  4.813616e-01 -0.460472049  0.346740360  0.138155888  0.37869869
 [27,] -1.727580e+00  4.311875507 -0.696029124  1.570892281 -1.06276781
 [28,]  1.345042e+00 -1.534401640  0.450152946 -0.606057075  0.23286994
 [29,] -4.487826e-03  0.175723264 -0.664801815  1.116970947  0.30246290
 [30,] -3.546784e-01 -1.560590298 -0.002792653  0.469776081  0.15179268
 [31,] -1.505038e+00  1.500629433 -0.974339475 -0.276337243 -0.71899002
 [32,] -2.413132e+00  1.924456237 -0.942035044  0.503789269 -1.81109916
 [33,] -4.601787e-01  0.583272070  0.289705326  0.140644568  1.77113135
 [34,]  9.582706e-01 -1.933197411 -1.318044060  0.767629453 -0.04280237
 [35,] -5.657417e+00 -0.486218428  0.626471057  0.575322831 -1.19932369
            Comp.6      Comp.7       Comp.8       Comp.9      Comp.10      Comp.11
  [1,]  0.70609211  0.73971951 -0.028789602 -0.430747443 -0.246657084 -1.382977847
  [2,] -0.29122273 -0.01446585  1.359616476  0.145200193  0.730189534  0.089889699
  [3,] -0.54519424  0.31891083 -0.052314482 -0.729257486 -0.121944203  0.123834686
  [4,] -0.54590496 -0.81761868 -0.530317910 -1.012713930 -0.419386671 -0.861265168
  [5,]  0.23065753 -1.00627152 -0.025678589  0.733734745 -0.670257855 -1.684671874
  [6,]  0.41872523  1.82121210  0.040266273  0.366833922 -0.220177447 -0.121061066
  [7,] -0.43080248 -0.08336842  0.336989909  0.255378014 -0.489257470 -0.018477632
  [8,]  0.87926849 -1.12180769  2.414780404  0.580973610 -0.822775099  1.415703152
  [9,]  0.40559587  0.21701058  0.115146734  0.107586546  0.197966660  0.150169458
 [10,]  0.80449894  1.44257223 -0.792977542  0.034907875 -0.343827277  1.384767648
 [11,]  0.10803775 -0.34526935 -0.141043410  0.523491829  0.127882662 -0.175068430
 [12,] -2.22744827  0.47916964 -0.265065434 -0.947731677 -1.168203501 -1.083796278
 [13,] -0.96837832  0.87491143 -1.301835174  0.157222233  0.116600867  0.377573112
 [14,]  0.72155479 -2.05151051 -1.113971265  0.498698376 -0.395626481 -2.515387942
 [15,] -0.29122273 -0.01446585  1.359616476  0.145200193  0.730189534  0.089889699
 [16,] -0.53812731  0.37339455  0.104978547 -0.340291369 -0.073813019 -1.276720478
 [17,] -0.49631683  0.76889941 -0.622205001 -0.264565398  0.515967114  0.748909636
 [18,]  0.21637720 -0.17524200 -0.422880880  0.363570865 -0.585144909  1.086538999
 [19,]  0.34633271 -0.67451945 -0.066075852  0.043685991 -0.135208520  0.818456813
 [20,] -1.02582162 -0.33691687  0.809642298  1.530036873 -0.221792442  1.355526800
 [21,] -0.85581661 -2.15206845 -1.318651023 -1.431442621 -0.895682741 -0.218825292
 [22,]  0.28648314  0.12952634  0.007410945 -0.156562670  0.051665507  0.070368498
