             Comp.1       Comp.2      Comp.3        Comp.4       Comp.5
  [1,]  0.317286054  1.682331783  0.47822483 -0.4176988940 -0.315883864
  [2,] -2.132524537  0.007627487  1.00747998 -0.1083035658  5.199010442
  [3,]  4.308827075  1.416950498 -3.35246179 -2.3368413128 -0.068875509
  [4,] -5.762799014  0.896245912  0.86991705 -1.0394604274  1.326102527
  [5,]  3.749679620  1.941635675  2.08054682  0.1892288161  0.216021999
  [6,] -0.228923973  3.063053801  1.06419981  0.3668985640  0.238133954
  [7,] -0.052295249 -2.442604282  1.51162515  0.5958314627  0.625761638
  [8,] -1.366725540 -0.194294426 -0.26231039  1.4722469454  0.285053290
  [9,]  2.989772369  0.719780419  0.02022768 -0.1817739451 -0.273581705
 [10,] -3.118564276 -0.847402150 -1.22664369  0.2463292658 -0.265494917
 [11,] -1.645106967  0.807967078  0.26387949 -1.3058416507  0.662890999
 [12,]  0.180208325  0.025654319  0.27169584 -0.6498582773 -0.677381006
 [13,]  0.385329266  0.995263849 -1.62194884  0.7050789645 -1.947547178
 [14,] -0.366638671 -1.526028953 -2.85810567 -1.9659213819  0.335174609
 [15,] -2.132524537  0.007627487  1.00747998 -0.1083035658  5.199010442
 [16,]  0.006707561 -1.106578020  1.31413924  0.8220121325  0.173781504
 [17,] -5.969444919  0.162835423 -4.29209803 -2.8485461546  0.659167839
 [18,] -2.743019650 -0.209318306 -2.42875630 -0.1731324515  0.368333921
 [19,]  0.914636341  0.093591380 -1.62691877  3.8186389441  0.602203366
 [20,]  0.057286337  1.219253800 -0.49411789 -0.7355253432 -2.000774621
 [21,]  1.547699027 -0.862061136  3.49723687 -0.5548949901  1.133148412
 [22,] -2.634777009  1.846082587  0.09449604 -0.3492744231 -0.676519973
 [23,] -3.253113489 -1.674318661 -0.52460536  3.6954523138 -0.494539040
 [24,] -1.366725540 -0.194294426 -0.26231039  1.4722469454  0.285053290
 [25,]  1.668991343  1.921794928 -0.25070537  1.0191255700 -1.356115678
 [26,] -0.659533770  0.548692510 -0.67687654 -0.3216266443  0.194804540
 [27,]  1.190030670 -4.548188348  1.41098464 -0.0216877036  0.624421667
             Comp.6       Comp.7       Comp.8        Comp.9       Comp.10
  [1,]  1.358710842 -0.617872391 -0.094470421 -1.2121326507 -0.2827882204
  [2,]  0.265051819  1.567919333 -1.610922195 -0.7038812378 -0.2095101962
  [3,] -0.590862924  0.098525892  1.466503278  0.0394492916  0.0956074098
  [4,] -1.313169361 -1.120085918  0.224294050  0.4957089714 -0.2291805096
  [5,]  0.551777525 -1.112112624  0.864610761  0.6973762701 -0.6836153531
  [6,]  0.938721480  0.886723576  1.519103135 -0.9805001181  0.6324881283
  [7,]  1.085543611 -0.119293693  0.958354804  0.0005929445 -0.5933382390
  [8,] -1.273195338 -1.837470729 -0.421809089 -0.5900238205  0.3664220034
