             Q2         Q3           Q4          Q5          Q6          Q7
Q2   1.00000000 0.07202956  0.388746432 -0.20137083 -0.26221411 -0.24142802
Q3   0.07202956 1.00000000  0.163614795  0.27257176  0.10371609  0.30287700
Q4   0.38874643 0.16361479  1.000000000 -0.18283399 -0.00279493 -0.02718066
Q5  -0.20137083 0.27257176 -0.182833990  1.00000000  0.59872037  0.38385204
Q6  -0.26221411 0.10371609 -0.002794930  0.59872037  1.00000000  0.45244750
Q7  -0.24142802 0.30287700 -0.027180658  0.38385204  0.45244750  1.00000000
Q8  -0.30408757 0.23571413 -0.099914234  0.77135893  0.69663754  0.45787702
Q9  -0.34683467 0.21531298 -0.147064568  0.67651745  0.65432459  0.52040880
Q10 -0.26666886 0.19710629 -0.150259861  0.57108887  0.42730071  0.41039903
Q11 -0.14242396 0.33045993 -0.066040038  0.41610463  0.26543607  0.36106331
Q12 -0.12929140 0.31785192 -0.044835271  0.48844710  0.28199049  0.35587876
Q13 -0.26250918 0.18638504 -0.104884432  0.57081077  0.42286028  0.40037713
Q14 -0.16223028 0.22846991 -0.049112053  0.47924854  0.39096729  0.40061721
Q15 -0.19503184 0.25179156 -0.009350711  0.40613896  0.45807257  0.40680483
Q16 -0.17178537 0.10748926 -0.026437821  0.39641305  0.24847913  0.33898894
Q17 -0.03043318 0.46912454  0.093285664  0.25830903  0.08045796  0.35418542
Q18 -0.05138943 0.29318836 -0.010246602  0.35696733  0.18078808  0.30625071
Q19 -0.06016670 0.33075986 -0.071171642  0.23918425  0.05654061  0.34857963
Q20 -0.05398741 0.23203159 -0.147077012  0.24389055  0.11442017  0.31789218
Q21 -0.05306468 0.16318966 -0.059301933  0.37761903  0.18254488  0.27868533
Q22 -0.21712313 0.23773804 -0.183978768  0.50327889  0.35090596  0.40235333
Q23 -0.19628119 0.16242407 -0.154185825  0.49439578  0.32860927  0.42044211
Q24 -0.22661522 0.10014118 -0.223178421  0.52197327  0.36982733  0.33600369
Q25 -0.27811439 0.15417648 -0.179051667  0.49123853  0.38311297  0.42560275
Q26 -0.34205367 0.18983116 -0.229213643  0.60726003  0.50086194  0.36000662
Q27 -0.30281420 0.14240227 -0.195129767  0.64362457  0.54770910  0.35456801
Q28 -0.08996306 0.28755850 -0.076846839  0.33471562  0.28549267  0.28712704
             Q8          Q9        Q10          Q11         Q12         Q13
Q2  -0.30408757 -0.34683467 -0.2666689 -0.142423958 -0.12929140 -0.26250918
Q3   0.23571413  0.21531298  0.1971063  0.330459932  0.31785192  0.18638504
Q4  -0.09991423 -0.14706457 -0.1502599 -0.066040038 -0.04483527 -0.10488443
Q5   0.77135893  0.67651745  0.5710889  0.416104631  0.48844710  0.57081077
Q6   0.69663754  0.65432459  0.4273007  0.265436069  0.28199049  0.42286028
Q7   0.45787702  0.52040880  0.4103990  0.361063312  0.35587876  0.40037713
Q8   1.00000000  0.71131953  0.6034391  0.413999179  0.48639428  0.57529824
Q9   0.71131953  1.00000000  0.5356622  0.508403775  0.51779111  0.57410886
Q10  0.60343908  0.53566219  1.0000000  0.627549865  0.69767493  0.72405794
Q11  0.41399918  0.50840378  0.6275499  1.000000000  0.88725549  0.70897562
Q12  0.48639428  0.51779111  0.6976749  0.887255486  1.00000000  0.76552176
Q13  0.57529824  0.57410886  0.7240579  0.708975624  0.76552176  1.00000000
Q14  0.50199402  0.47753726  0.6228077  0.585358835  0.64097288  0.81195794
Q15  0.44628788  0.57382922  0.6048636  0.518996646  0.59441886  0.70903074
Q16  0.24752024  0.42744424  0.4272163  0.365328083  0.35768635  0.47008238
Q17  0.19613391  0.25262907  0.3556591  0.423150227  0.41544352  0.35763407
